% Boys Enrolled,% Complete Primary Schools,% Girls Enrolled,% Primary Schools with single classroom,% Primary Schools with single teacher,All Four Facilities,Any One Facility,Any Three Facilities,Any Two Facilities,Complete Primary Schools,Country,City,Drinking water,Education score,Educational Budget Spend of GDP,Electricity,Enrolment score,Learning score,No Facility,Number of primary schools as % of total schools,Number of primary schools,Number of secondary schools as % of total schools,Number of secondary schools,Pakistan Economic Growth,Population,Primary Schools with single classroom,Primary Schools with single teacher,ADM1_EN,Retention score,School infrastructure score,Toilet,Total number of schools
56.03%,0.73,43.98%,0.031818182,0.238181818,93.12%,0.00%,6.88%,0.00%,803,Pakistan,Okara,98.41915086,77.01,2.62%,86.93721771,84.7,62.04,0.00%,0.701083493,1100,0.298916507,469,4.10%,2232992,35,262,Punjab,67.33,88.655,83.84688347,1569
69.41%,0.825825826,30.59%,0.010510511,0.163663664,97.04%,0.00%,2.96%,0.00%,550,Pakistan,Pakpattan,96.37883008,63.845,2.62%,90.22562674,51.27,75.54,0.00%,0.730263158,666,0.269736842,246,4.10%,1286680,7,109,Punjab,47.98,91.61,89.35236769,912
62.61%,0.676771504,37.39%,0.064797272,0.258431224,91.86%,0.00%,8.14%,0.00%,1786,Pakistan,Rahim Yar Khan,97.69871066,67.065,2.62%,77.64087979,43.285,75.955,0.00%,0.814003701,2639,0.185996299,603,4.10%,3141053,171,682,Punjab,61.64,84.74,80.50891164,3242
67.71%,0.573869347,32.30%,0.148743719,0.277386935,90.40%,0.00%,9.60%,0.00%,571,Pakistan,Rajanpur,95.10323887,60.965,2.62%,42.40080972,45.04,69.45,0.00%,0.860726644,995,0.139273356,161,4.10%,1103618,148,276,Punjab,47.075,75.965,80.04453441,1156
53.79%,0.941035857,46.21%,0.014342629,0.044621514,87.20%,0.00%,12.80%,0.00%,1181,Pakistan,Rawalpindi,96.21717172,81.425,2.62%,81.9978355,64.28,76.84,0.00%,0.635121457,1255,0.364878543,721,4.10%,3363911,18,56,Punjab,88.355,84.565,74.77200577,1976
58.37%,0.888268156,41.64%,0.018156425,0.093575419,90.27%,0.00%,9.73%,0.00%,636,Pakistan,Sahiwal,99.16317992,68.71,2.62%,95.17642957,55.52,60.68,0.00%,0.59517872,716,0.40482128,487,4.10%,1843194,13,67,Punjab,67.01,90.815,78.90306834,1203
54.06%,0.843562874,45.94%,0.046407186,0.11002994,92.86%,0.00%,7.14%,0.00%,1127,Pakistan,Sargodha,98.91151685,75.42,2.62%,90.31039326,63.405,70.105,0.00%,0.658128079,1336,0.341871921,694,4.10%,2665979,62,147,Punjab,72.215,87.86,80.45365169,2030
54.52%,0.768796992,45.49%,0.073308271,0.157894737,94.14%,0.00%,5.86%,0.00%,818,Pakistan,Sheikhupura,98.11753903,76.28,2.62%,74.30808081,66.365,55.87,0.00%,0.741980474,1064,0.258019526,370,4.10%,2321029,78,168,Punjab,87.41,86.545,81.59320478,1434
70.99%,0.813387424,29.01%,0.07775524,0.108857336,97.00%,0.00%,3.00%,0.00%,1203,Pakistan,Sialkot,97.81616688,83.755,2.62%,89.03650587,99,68.31,0.00%,0.738392411,1479,0.261607589,524,4.10%,1688823,115,161,Punjab,88.7,89.285,82.07170795,2003
74.36%,0.934722222,25.65%,0.022222222,0.043055556,92.21%,0.00%,7.79%,0.00%,673,Pakistan,Toba Tek Singh,54.44444444,55.225,2.62%,45.69444444,53.145,64.94,0.00%,0.596520298,720,0.403479702,487,4.10%,1621593,16,31,Punjab,59.645,56.65,50.70833333,1207
